start,end,segment_mass,cumulative_mass,v_avg,delta_h,W_ThA->B
tst boces tompkins,12. enfield elementary,18325.1317,18325.1317,10.19433465085639,38,7783457.293897703
12. enfield elementary,5. caroline elementary,271.1111111,18596.2428111,15.869029075804777,-29,2341509.50033785
5. caroline elementary,1. dewitt middle school,251.1111111,18847.3539222,12.365513928914508,-12,1440936.1342945509
1. dewitt middle school,2. northeast elementary,514.3055556,19361.6594778,5.826023391812866,-5,328592.0335325896
2. northeast elementary,3. cayuga heights elementary,326.5277778,19688.1872556,4.826388888888888,-61,229308.60940239654
3. cayuga heights elementary,4. belle sherman,251.8055556,19939.9928112,7.697893972403777,-1,395186.44648210553
4. belle sherman,6. south hill elementary,240.9722222,20180.9650334,5.264336917562725,-51,279639.99580512964
6. south hill elementary,13. lehman alternative,357.2222222,20538.187255599998,7.920353982300885,-26,644200.8554474503
13. lehman alternative,7. bjm elementary,81.11111111,20619.298366709998,6.991298527443106,-39,503917.6627737605
7. bjm elementary,8. fall creek elementary,242.5,20861.798366709998,4.412280701754386,-2,203071.0504371703
8. fall creek elementary,9. boynton middle school,273.3333333,21135.13170001,5.701566951566951,-2,343529.01146168995
9. boynton middle school,10. maint garage,484.3055556,21619.43725561,5.539351851851852,-4,331689.93498411414
10. maint garage,11. bus garage,0.0,21619.43725561,4.603513770180436,4,1077429.9399137099
11. bus garage,14. tompkins recycling,0.0,21619.43725561,7.503103662321539,-2,184376.6637321271
14. tompkins recycling,tst boces tompkins,18325.1317,18325.1317,7.840909090909091,192,35079065.28287753
